accel,gyro,miclevel,Label
"0.5909579992294312,0.9511512517929077,-0.0717313289642334","0.6044896245002747,0.3089614808559418,-1.9367035627365112","-13.148716926574707,-15.538052558898926",Walking
"0.5815824270248413,0.7503893971443176,-0.0848381519317627","0.302935391664505,0.5082026720046997,-1.0021225214004517","-13.148716926574707,-16.153480529785156",Walking
"0.5666683316230774,0.6928920745849609,-0.08608072996139526","0.3639393448829651,0.6506801843643188,-0.8536556363105774","-13.148716926574707,-16.504987716674805",Walking
"0.6263094544410706,0.6562857627868652,-0.05111360549926758","0.7247300148010254,0.7018272876739502,-0.7588460445404053","-13.148716926574707,-17.701852798461914",Walking
"0.7083894610404968,0.6766554117202759,0.03852570056915283","0.9165167808532715,0.5406287908554077,-0.2813977003097534","-13.148716926574707,-18.125680923461914",Walking
"0.7253782153129578,0.6658262610435486,0.07199674844741821","0.8674491047859192,0.5228670835494995,0.08884453028440475","-13.148716926574707,-19.874074935913086",Walking
"0.7251421213150024,0.6466506719589233,0.13417071104049683","0.29269951581954956,0.5765106081962585,0.9989873170852661","-13.148716926574707,-20.80806541442871",Walking
"0.670211672782898,0.6410393714904785,0.09447675943374634","-0.474719375371933,0.4522869288921356,1.854060173034668","-13.148716926574707,-22.767383575439453",Walking
"0.628380298614502,0.6717983484268188,0.07633054256439209","-0.6601989269256592,0.36643460392951965,2.199228048324585","-13.148716926574707,-23.858808517456055",Walking
"0.5091555714607239,0.7475553154945374,0.06200462579727173","-0.9088396430015564,0.21868884563446045,3.002373695373535","-13.148716926574707,-25.071374893188477",Walking
"0.3077605962753296,0.8207539319992065,0.05126023292541504","-1.13882315158844,-0.008130457252264023,3.7668094635009766","-13.148716926574707,-25.518444061279297",Walking
"0.16716623306274414,0.854150652885437,0.028550028800964355","-1.1943867206573486,-0.17757141590118408,4.061069488525391","-13.148716926574707,-26.158754348754883",Walking
"-0.10784387588500977,0.9102185368537903,-0.013900220394134521","-1.3105671405792236,-0.3599143326282501,4.485969066619873","-13.148716926574707,-24.318925857543945",Walking
"-0.4299125671386719,0.9319506883621216,-0.10232245922088623","-1.4940403699874878,-0.41667109727859497,4.39064359664917","-13.148716926574707,-24.82857322692871",Walking
"-0.5747886300086975,0.9090308547019958,-0.1468871831893921","-1.431560754776001,-0.43289241194725037,4.202525615692139","-10.18260383605957,-15.082468032836914",Walking
"-0.7134949564933777,0.633945882320404,-0.23100805282592773","-1.2312417030334473,-0.10504662990570068,3.5758731365203857","-10.18260383605957,-13.325397491455078",Walking
"-0.6896353960037231,0.3201276659965515,-0.2908792495727539","-1.169089913368225,1.1744147539138794,2.8688740730285645","-10.18260383605957,-14.578907012939453",Walking
"-0.634970486164093,0.16636812686920166,-0.29875731468200684","-0.8808639645576477,1.8436837196350098,2.536112070083618","-10.18260383605957,-15.154428482055664",Walking
"-0.5207580327987671,-0.04464459419250488,-0.2433910369873047","-0.333159863948822,2.4473090171813965,1.8304266929626465","-10.18260383605957,-15.830327033996582",Walking
"-0.4709061086177826,-0.09599035978317261,-0.1384875774383545","-0.15297996997833252,2.3026986122131348,1.2463303804397583","-10.18260383605957,-17.488737106323242",Walking
"-0.45739513635635376,-0.07601702213287354,-0.08454573154449463","-0.28674817085266113,2.115176200866699,1.0297610759735107","-10.18260383605957,-18.505342483520508",Walking
"-0.41822847723960876,-0.040319859981536865,-0.056575894355773926","-1.0137920379638672,1.7550989389419556,0.9872165322303772","-10.18260383605957,-20.594043731689453",Walking
"-0.4806404411792755,0.006739139556884766,-0.1908276081085205","-1.738495111465454,1.1087113618850708,1.2929857969284058","-10.18260383605957,-21.66823387145996",Walking
"-0.5243183970451355,-0.055578410625457764,-0.3110734224319458","-1.696791648864746,0.61481112241745,1.4926525354385376","-10.18260383605957,-23.484825134277344",Walking
"-0.6108182668685913,-0.30646079778671265,-0.48461008071899414","-0.6482189893722534,-0.3858519196510315,1.6222238540649414","-10.18260383605957,-24.547260284423828",Walking
"-0.6856473684310913,-0.4039800763130188,-0.4381883144378662","0.9066777229309082,-0.8489862680435181,1.0235111713409424","-10.18260383605957,-25.49054527282715",Walking
"-0.6738540530204773,-0.43965673446655273,-0.34833836555480957","1.4668176174163818,-0.8445590734481812,0.6930661201477051","-10.18260383605957,-27.567596435546875",Walking
"-0.6031908988952637,-0.5033875107765198,-0.13545608520507812","1.5485024452209473,-0.4191776514053345,0.3012149930000305","-10.18260383605957,-28.47372817993164",Walking
"-0.5699880123138428,-0.480613648891449,-0.08510053157806396","0.5063249468803406,-0.3392471373081207,0.05529337748885155","-10.18260383605957,-29.80951499938965",Walking
"-0.5890318751335144,-0.447235643863678,-0.13586735725402832","-0.003365985583513975,-0.6300952434539795,-0.09563542157411575","-10.18260383605957,-30.180356979370117",Walking
"-0.65775465965271,-0.3387870192527771,-0.31997907161712646","-0.21355117857456207,-1.5824575424194336,-0.3817249834537506","-10.18260383605957,-31.463409423828125",Walking
"-0.7764945030212402,-0.20523160696029663,-0.4050558805465698","0.5051451921463013,-2.6349778175354004,-0.9439193606376648","-10.18260383605957,-31.919775009155273",Walking
"-0.8281912803649902,-0.126667320728302,-0.3759636878967285","0.9984678626060486,-2.9389591217041016,-1.397173285484314","-10.18260383605957,-24.282196044921875",Walking
"-0.9131122827529907,0.1179800033569336,-0.18952083587646484","1.3220620155334473,-2.7764101028442383,-2.362818479537964","-10.18260383605957,-24.840675354003906",Walking
"-0.8708417415618896,0.39831215143203735,-0.04227215051651001","1.173822045326233,-2.3332157135009766,-3.1857266426086426","-10.18260383605957,-25.56195831298828",Walking
"-0.79390549659729,0.4520914554595947,0.018276214599609375","0.932998776435852,-2.2093563079833984,-3.5215044021606445","-10.18260383605957,-24.510147094726562",Walking
"-0.5802311897277832,0.6016132235527039,0.021920204162597656","-0.021599318832159042,-1.9225560426712036,-4.358578681945801","-10.18260383605957,-21.74557876586914",Walking
"-0.29729652404785156,0.7419827580451965,-0.10097205638885498","-0.3181667923927307,-1.4401590824127197,-4.588693618774414","-10.18260383605957,-22.03378677368164",Walking
"-0.18908309936523438,0.7837942838668823,-0.16446733474731445","-0.2508125305175781,-1.3876186609268188,-4.515381336212158","-10.18260383605957,-22.229324340820312",Walking
"-0.12306278944015503,0.9199783205986023,-0.2152930498123169","-0.02339189313352108,-1.3506587743759155,-4.506896495819092","-10.18260383605957,-22.848011016845703",Walking
